ISO3,Country,Region,Income_Level,M_Score,I_Score,N_Score,D_Score,MIND_Score,Binding_Constraint,NY.GNP.PCAP.PP.CD,EG.ELC.ACCS.ZS,SP.DYN.LE00.IN,SH.H2O.SMDW.ZS,SE.TER.ENRR,GB.XPD.RSDV.GD.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,NE.TRD.GNFS.ZS,IT.CEL.SETS.P2,BX.KLT.DINV.WD.GD.ZS,ST.INT.ARVL,SG.GEN.PARL.ZS,SL.TLF.CACT.FE.ZS,EG.FEC.RNEW.ZS,TX.VAL.TECH.MF.ZS
MNG,Mongolia,East Asia & Pacific,Upper middle income,51.41,45.41,30.40,34.55,39.57,N,17000,100,72.3980487804878,43.360722296887,69.044059753418,0.08365,85.12349701,5.21229982376099,138.448379141249,140.670025377351,11.6924984371367,66900.0015258789,25.3968253968254,51.458,3,22.5365545669935
MNP,Northern Mariana Islands,East Asia & Pacific,High income,85.65,0.00,11.62,0.00,0.00,I,,100,78.947,81.4545454545454,,,0,,93.1569343065693,,,487000,,,0.5,
MOZ,Mozambique,Sub-Saharan Africa,Low income,18.04,23.47,16.39,62.38,25.65,N,1520,36,63.797,27.5429456975996,7.4630510423433,,20.52729988,5.97607342054314,95.659420351194,49.5047696961223,15.4256916399298,2033000,38.3064516129032,77.09,76.9,3.6302648420799
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,29.43,35.82,27.84,25.64,29.45,D,7300,50.3,68.713,,5.97194330025359,,45.77939987,7.61007976531982,93.5988355881472,92.0748946443443,13.2039338372346,,23.2954545454545,26.18,19.6,9.44834081238425
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,62.05,36.39,33.95,24.46,37.00,D,35100,100,73.7890243902439,,45.7771156388358,0.26181,73.30793533,4.247389793396,145.421700301153,172.68356921857,4.56073459342588,316000,17.910447761194,47.462,8.6,1.21703538647261
MWI,Malawi,Sub-Saharan Africa,Low income,13.21,13.03,12.36,44.28,17.52,N,1830,15.6,67.561,18.1816539742083,2.70813684546823,,18.96159935,2.74888371105811,42.4376683990967,69.260530662121,2.27963607830505,871000,21.4285714285714,58.18,62.9,1.64552794448662
MYS,Malaysia,East Asia & Pacific,Upper middle income,73.34,42.71,29.98,42.27,44.64,N,37450,100,76.821,94.700361858312,38.5013945445142,1.0121,98.0206059,3.51481008529663,137.362571161559,139.664651283564,3.6930953933026,4333000,13.5135135135135,51.643,7.5,58.6276748543331
NAM,Namibia,Sub-Saharan Africa,Lower middle income,31.52,41.41,21.45,43.22,33.17,N,11300,56.7,67.516,,26.1092654658031,0.64636,64.87460327,9.08440819434816,109.628509818932,85.1648988113055,14.4696554951116,187100.006103516,42.3076923076923,54.918,30,0.117288080576373
NCL,New Caledonia,East Asia & Pacific,High income,91.10,0.00,16.02,34.93,0.00,I,,100,78.921,96.8652854148107,,,82.0058408035186,,40.368957724281,91.6763895612682,8.48945728851914,31000,,51.067,9.6,
NER,Niger,Sub-Saharan Africa,Low income,7.78,15.83,11.48,54.95,16.70,M,2030,20.1,61.433,,4.15170730347346,,15.55760002,4.07412707618114,49.9759837351389,60.5939862118112,1.80157547660986,85000,19.5876288659794,72.776,79.6,8.61766309210248
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,21.83,15.95,12.25,48.88,21.37,N,8850,61.2,54.635,29.904599188308,9.74153350922586,,41.21139908,0.319069049792343,26.1665128655299,70.7619057835431,0.428249682662515,5265000,4.21348314606742,80.7,80.3,2.71167186435579
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,51.77,35.24,22.10,53.36,38.30,N,8270,88.3,75.1,,30.3635101318359,,61.39550018,2.86954998970032,98.5258377100159,105.961143065351,6.86656428120852,474000,54.9450549450549,51.253,50.4,0.596452227371355
NLD,Netherlands,Europe & Central Asia,High income,89.24,61.12,29.67,49.02,53.07,N,84970,100,81.9658536585366,99.9595063956065,86.5938262939453,2.26719,97.00679779,5.17918014526367,153.83065216636,128.538765867661,-1.40403571808501,7265000,43.3333333333333,62.71,12.2,23.4680052763745
