ISO3,Country,Region,Income_Level,M_Score,I_Score,N_Score,D_Score,MIND_Score,Binding_Constraint,NY.GNP.PCAP.PP.CD,EG.ELC.ACCS.ZS,SP.DYN.LE00.IN,SH.H2O.SMDW.ZS,SE.TER.ENRR,GB.XPD.RSDV.GD.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,NE.TRD.GNFS.ZS,IT.CEL.SETS.P2,BX.KLT.DINV.WD.GD.ZS,ST.INT.ARVL,SG.GEN.PARL.ZS,SL.TLF.CACT.FE.ZS,EG.FEC.RNEW.ZS,TX.VAL.TECH.MF.ZS
UKR,Ukraine,Europe & Central Asia,Upper middle income,65.68,49.61,24.14,27.79,38.45,N,18560,100,74.692,87.8683769430978,87.1920013427734,0.36988,82.47489929,5.14010000228882,77.7530113300514,133.38012811971,2.1065185105382,3382000,21.1970074812968,47.738,8.9,6.37028789775054
URY,Uruguay,Latin America & Caribbean,High income,67.20,51.11,22.64,49.71,44.34,N,34170,100,78.287,,79.9536903496537,0.70196,91.99109007,4.76461982727051,52.4649167856379,145.501755749445,-4.86239476784597,3480000,31.3131313131313,57.255,57.8,9.84178975855216
USA,United States,North America,High income,86.04,64.43,29.13,40.43,50.55,N,85980,100,78.890243902439,97.5676884437325,79.361930847168,3.44716,94.69380188,5.42038011550903,25.3786342507088,113.190481805755,1.03321085618604,45037000,28.9351851851852,56.343,10.9,24.322982844202
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,60.79,45.18,20.88,29.56,36.08,N,12000,100,72.528,81.9295048040968,59.8086982926392,0.10416,89.50550079,5.47287597270024,60.7274403812997,110.492018573638,2.5972703195852,6749000,38,41.178,1,1.73386305963966
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,55.30,52.84,22.96,26.48,36.51,N,21150,100,71.382,,41.4983277591973,,76.19010162,6.4582691706334,,108.354536057883,12.0060314102276,392000,13.3333333333333,59.217,5.1,4.93442861881868
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,56.75,70.44,11.08,45.13,37.60,N,20800,100,72.673,,78.2699203491211,,76.67890167,,26.0811657596499,71.0075917225029,1.36272366359347,429000,32.129963898917,37.098,33.7,
VGB,British Virgin Islands,Latin America & Caribbean,High income,85.64,41.25,16.15,0.00,0.00,D,,100,77.431,,29.5605306799337,,77.7042682926829,3.17283855528435,,93.1316662866408,,83000,,,1.3,
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,93.97,45.51,32.48,34.04,46.63,N,,100,80.7707317073171,98.6774837370682,33.5513496398926,,64.3774942980087,,205.629280821918,91.4619626157421,,8612000,,52.768,5.9,
VNM,Viet Nam,East Asia & Pacific,Lower middle income,57.29,35.31,31.08,55.56,43.23,N,15850,99.8,74.736,58.5808391368178,37.5923642016718,0.41456,84.15,2.88738689372749,173.862024782965,127.606471743496,4.23394171325231,3837000,31.3807531380753,68.551,24.2,44.256885251682
VUT,Vanuatu,East Asia & Pacific,Lower middle income,30.71,27.77,16.42,30.94,25.66,N,4140,61.6,71.654,19.1970839884387,4.87792015075684,,22.35140038,7.63695001602173,63.5996121674253,89.2943082123161,2.58164239501493,82400.0015258789,1.92307692307692,53.314,25,
WSM,Samoa,East Asia & Pacific,Upper middle income,54.27,24.71,13.65,47.37,30.52,N,8620,100,71.826,62.50194060138,16.0263900756836,,21.20000076,5.45616637544294,79.5241461770504,62.398669522115,0.318181346491415,23899.9996185303,9.80392156862745,30.739,35.9,76.6700641079328
XKX,Kosovo,Europe & Central Asia,Upper middle income,44.10,0.00,18.44,0.00,0.00,I,18290,,78.222,,,,89.4430319734879,,113.789651964133,34.5402009143477,7.67877491657097,,,,,
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,41.73,11.67,13.44,1.33,9.66,D,3020,83.6,69.439,,8.80690002441406,,17.49099922,,56.0778227215077,50.8937810578557,-1.30563839823089,,0,4.663,3.7,
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,48.62,37.99,28.86,39.09,37.99,N,15150,87.7,66.312,68.0075638755656,23.493768799339,0.61479,78.35759735,6.02110004425049,61.646770473025,179.336329840585,0.580891709673066,3886600.09765625,44.8621553884712,49.881,9.7,5.70923344153222
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,26.15,16.28,20.20,46.17,25.10,I,3850,51.1,66.528,,3.96159738763825,,17.10099983,4.07374933049157,62.5348874064443,108.704779873813,9.32437789659637,502000,14.9700598802395,56.426,83,1.4719428559393
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,25.11,15.71,15.31,55.08,24.02,N,5870,62,63.064,25.460563358156,7.74912957845971,,41.64279938,0.384771297211919,41.4865312656314,94.2451753366358,1.12046122708248,639000,30.1075268817204,62.155,82.4,2.79801736625087
